,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
22455,E8Y4QAGSTK,24,81276,122160,709,19,2,4.43,24,0.81,Master's,Unemployed,Single,Yes,No,Business,No,1
22481,T7UBSW63EJ,60,130472,203051,454,16,2,14.55,12,0.78,High School,Self-employed,Married,Yes,No,Education,No,1
22489,7609YQ5BZC,29,133135,181191,611,77,1,10.7,12,0.61,High School,Part-time,Single,Yes,No,Business,No,1
22495,NIY4CZY26A,18,17086,172665,681,99,1,24.36,60,0.16,Master's,Self-employed,Divorced,Yes,Yes,Auto,Yes,1
22535,I0RTPGFLVM,28,147019,183841,354,7,3,24.41,48,0.11,Master's,Part-time,Married,No,No,Education,No,1
22537,KJ9PKR7AA1,35,77864,149882,632,29,1,21.41,48,0.33,Master's,Unemployed,Divorced,Yes,No,Business,No,1
22552,K98FGIAD7M,36,121963,185904,629,76,1,21.16,60,0.81,Master's,Self-employed,Divorced,No,Yes,Business,No,1
22554,MRD8LLRZNM,19,47399,55253,684,112,3,21.6,48,0.69,High School,Part-time,Married,Yes,No,Education,Yes,1
22565,ATGK4P06GI,21,136218,110000,577,85,1,5.14,24,0.66,High School,Full-time,Married,No,No,Auto,No,1
22572,9GPNHOGF5P,28,16268,129869,729,30,1,3.95,48,0.61,Master's,Self-employed,Divorced,No,No,Other,Yes,1
22577,O4Q2EG3WUH,27,120022,125375,414,7,4,23.97,48,0.6,Master's,Unemployed,Divorced,Yes,No,Education,Yes,1
22585,EDUCSSVPHC,48,117230,168472,454,59,4,24.72,24,0.53,Master's,Part-time,Divorced,Yes,Yes,Business,No,1
22586,TH8CMML5T2,23,135759,81304,557,19,1,7.01,48,0.7,Bachelor's,Part-time,Single,No,Yes,Home,Yes,1
22596,QT4ACY6SYX,51,134553,99385,834,110,1,2.17,60,0.13,Master's,Self-employed,Single,Yes,Yes,Business,No,1
22607,LT390RMVP6,51,95029,79598,540,18,2,19.39,48,0.87,Master's,Self-employed,Divorced,Yes,Yes,Business,No,1
22620,5N8P7QQ1CM,24,109162,242205,368,86,3,24.3,12,0.63,High School,Unemployed,Married,No,No,Business,No,1
22633,NEDHGHJ5PP,36,15235,146860,672,19,4,5.22,48,0.59,High School,Self-employed,Married,Yes,Yes,Other,No,1
22637,HIKOK5X2RR,42,92257,125371,330,80,4,22.72,36,0.41,High School,Part-time,Single,Yes,Yes,Education,Yes,1
22642,ONSIPUX9AU,37,108372,47180,680,111,1,22.74,48,0.53,Master's,Self-employed,Single,No,Yes,Home,Yes,1
22649,75XGT56KO4,50,52754,123117,827,114,4,21.41,24,0.62,PhD,Unemployed,Divorced,Yes,Yes,Home,No,1
22652,ND4ZNDFJDB,32,107549,44178,665,79,1,10.68,12,0.12,Master's,Self-employed,Single,Yes,No,Other,No,1
22654,3MQQKX67Q6,23,146678,32208,499,3,4,3.48,24,0.68,High School,Self-employed,Single,Yes,Yes,Home,Yes,1
22659,S7LC0SB83D,45,19233,118933,672,62,3,17.38,48,0.73,Bachelor's,Part-time,Single,Yes,No,Education,No,1
22660,UPPNDW4L95,52,104758,215393,582,16,4,24.21,24,0.46,Master's,Unemployed,Single,Yes,No,Education,Yes,1
22667,LBSXAQYPF3,43,114781,87219,422,82,3,14.45,36,0.27,High School,Part-time,Divorced,Yes,Yes,Education,No,1
22673,110950OVUS,31,59103,228202,821,50,2,20.81,36,0.22,High School,Unemployed,Married,No,No,Other,No,1
22693,CDC1A2CVSV,30,124660,88023,526,104,1,14.46,24,0.31,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes,1
22700,RQAVNG4DVY,20,49079,147937,410,73,4,24.52,48,0.52,PhD,Self-employed,Single,No,No,Education,Yes,1
22714,F8FTJZJ16Y,50,17793,87735,487,44,3,2.71,48,0.8,PhD,Unemployed,Single,Yes,Yes,Education,No,1
22720,OP7DEW8IXC,52,92206,167965,592,116,1,24.44,36,0.89,High School,Unemployed,Divorced,Yes,Yes,Education,No,1
22735,R87LCQ8ZX0,24,17512,203355,681,103,2,22.76,48,0.82,High School,Full-time,Divorced,Yes,No,Education,No,1
22740,Q0YCWNA5U7,51,23529,197722,472,6,4,21.42,60,0.35,High School,Full-time,Married,Yes,No,Education,Yes,1
22741,0KIEIC4474,63,120630,220474,701,98,4,23.25,24,0.5,Master's,Self-employed,Divorced,Yes,Yes,Business,Yes,1
22755,BQ8DOQEQ2I,20,92527,243057,649,56,3,20.39,12,0.46,High School,Part-time,Divorced,No,Yes,Home,Yes,1
22758,RALVHZIUK2,59,67367,116908,406,3,1,22.69,24,0.37,Bachelor's,Self-employed,Divorced,No,No,Business,No,1
22774,A7M8MBIGD2,59,58091,165075,800,69,3,21.57,12,0.72,PhD,Unemployed,Married,No,No,Auto,Yes,1
22778,HIP4IAVYJ8,20,102657,145388,393,13,2,14.05,36,0.26,PhD,Full-time,Single,No,Yes,Other,No,1
22783,48QBFP3SPE,37,123888,116512,770,30,4,20.99,36,0.37,Bachelor's,Self-employed,Married,Yes,Yes,Other,Yes,1
22786,LOQ97N9LM4,54,33482,134711,587,66,2,10.27,36,0.3,Master's,Part-time,Single,Yes,Yes,Home,No,1
22800,3DOINR1TPD,34,61005,205337,554,102,4,24.29,36,0.63,High School,Full-time,Single,Yes,Yes,Auto,No,1
22807,9K4I71S7IH,57,30591,128239,714,1,4,15.5,48,0.81,Master's,Full-time,Married,No,Yes,Home,No,1
22811,05ZKN6ABL9,28,48143,155521,328,75,3,21.83,48,0.82,Bachelor's,Self-employed,Married,Yes,No,Home,No,1
22817,KFF2XA61NB,19,100028,200655,604,10,4,15.93,12,0.51,Master's,Full-time,Divorced,No,No,Home,Yes,1
22826,4XE2BKMGE4,26,134384,238897,642,12,1,17.7,36,0.16,Bachelor's,Full-time,Single,No,No,Other,No,1
22829,9ABR0CKE1T,36,28811,198880,305,93,3,14.56,24,0.41,PhD,Self-employed,Divorced,No,Yes,Education,No,1
22843,RJ08L5A482,55,20255,202037,301,51,4,13.54,48,0.31,PhD,Part-time,Divorced,No,Yes,Business,Yes,1
22861,8DPYBMP0NF,28,87927,201936,313,82,2,13.44,24,0.44,High School,Self-employed,Married,No,No,Home,Yes,1
22862,BJXIPTI5PT,29,35333,216477,466,114,3,22.28,24,0.23,Bachelor's,Self-employed,Married,Yes,No,Home,Yes,1
22868,QCAFIUHAP2,19,142617,141414,512,12,2,8.72,36,0.46,PhD,Self-employed,Single,Yes,Yes,Auto,No,1
22885,C6NDW37CRC,60,99000,188578,524,29,4,9.38,60,0.17,PhD,Part-time,Divorced,No,No,Business,No,1
22886,HA6G8JIUDN,36,18966,146301,757,4,4,16.97,36,0.12,Bachelor's,Self-employed,Married,Yes,No,Other,No,1
22887,KN1BUNWZUO,31,21560,9972,309,16,3,12.98,24,0.85,Bachelor's,Unemployed,Single,Yes,No,Home,Yes,1
22902,AGA0Z8KSTR,19,83798,195719,519,46,3,19.74,60,0.56,Bachelor's,Unemployed,Divorced,No,No,Other,Yes,1
22906,66DIEFHQ0D,65,137201,31995,383,69,1,22.3,48,0.28,PhD,Self-employed,Single,Yes,No,Auto,Yes,1
22945,9YMZWAUOON,35,61332,244135,845,6,4,7.94,12,0.61,Master's,Unemployed,Single,No,No,Auto,Yes,1
22951,YKTIZQZUD4,28,47935,229278,328,111,2,10.02,36,0.82,Bachelor's,Part-time,Married,No,No,Education,Yes,1
22953,87GUP45WBE,33,59200,179034,333,74,3,23.54,60,0.43,PhD,Unemployed,Married,Yes,No,Other,Yes,1
22973,9N1QALQXLW,36,115275,142750,586,69,4,9.22,12,0.71,High School,Unemployed,Divorced,Yes,Yes,Auto,No,1
22976,DPC32BB1BQ,38,147263,198117,533,83,2,13.6,24,0.45,Master's,Part-time,Divorced,No,No,Business,No,1
22993,W1LOXKKYMU,55,53163,116815,316,6,3,22.75,48,0.78,PhD,Self-employed,Single,Yes,Yes,Home,Yes,1
23000,2YMZMWR3F0,30,31628,219081,370,35,4,2.29,36,0.39,High School,Part-time,Married,No,No,Business,No,1
23001,YSMDRFEDJD,42,48904,23621,777,1,3,22.15,24,0.67,High School,Full-time,Divorced,Yes,No,Other,No,1
23012,AOFWXCIIP1,56,71648,235505,320,82,2,21.41,12,0.26,Bachelor's,Self-employed,Single,Yes,No,Auto,No,1
23014,5ACQI0CWUN,53,135384,31525,718,4,4,15.1,12,0.26,High School,Self-employed,Married,No,No,Home,Yes,1
23018,LG17NLCOSI,53,26291,158067,723,119,1,23.65,60,0.21,High School,Part-time,Single,No,Yes,Auto,No,1
23026,F0G7DPH75A,43,102898,217224,460,97,2,19.95,48,0.66,High School,Self-employed,Divorced,No,No,Education,Yes,1
23035,J9RMX0DLT6,31,49351,148360,630,49,2,14.29,24,0.65,High School,Unemployed,Divorced,Yes,Yes,Auto,Yes,1
23040,KSRYDT6XL6,41,28333,56875,349,83,1,21.51,24,0.83,High School,Self-employed,Married,No,No,Home,No,1
23051,ET970A689R,21,41835,123968,677,5,2,21.58,48,0.2,Master's,Self-employed,Single,No,No,Education,Yes,1
23054,5A2660S3YL,30,36123,57531,596,31,4,12.2,24,0.88,PhD,Self-employed,Married,Yes,No,Education,No,1
23062,MOM7T2Y7IF,63,142073,197098,745,35,2,23.3,12,0.55,High School,Self-employed,Single,No,Yes,Other,Yes,1
23074,KTM20PCYTF,52,92361,248568,832,4,2,22.45,36,0.5,Bachelor's,Unemployed,Married,No,Yes,Education,Yes,1
23075,C273WT6TIK,31,40219,222753,384,33,2,19.19,48,0.76,PhD,Full-time,Single,No,Yes,Business,No,1
23097,ZTGXEPCKGP,57,69940,8511,609,6,3,20.78,36,0.43,Master's,Self-employed,Married,No,Yes,Business,Yes,1
23108,R463SS5UZH,25,61965,12776,724,96,3,23.13,24,0.48,PhD,Full-time,Divorced,Yes,Yes,Education,Yes,1
23109,SNQRA3PAL9,24,58759,87546,441,45,3,8.98,12,0.66,PhD,Self-employed,Divorced,No,No,Other,Yes,1
23110,GMT64QIBXX,21,142471,199175,825,0,2,13.37,36,0.23,PhD,Self-employed,Single,Yes,No,Business,No,1
23115,BUW8NXFPTE,42,83430,116564,336,32,1,18.81,36,0.37,High School,Full-time,Divorced,No,Yes,Home,Yes,1
23131,NRVL4PL8H9,24,59815,135451,530,73,4,3.34,36,0.41,High School,Self-employed,Married,Yes,Yes,Other,No,1
23133,P1HC9JGS1H,40,132662,103230,827,76,3,22.43,60,0.6,High School,Self-employed,Single,Yes,No,Home,Yes,1
23134,109LHORW25,65,52678,143965,327,15,4,14.26,36,0.35,High School,Self-employed,Divorced,No,No,Other,No,1
23171,ATQSJOO51F,41,146027,45500,513,13,3,12.24,60,0.76,Bachelor's,Part-time,Divorced,No,No,Home,Yes,1
23172,V8GJR1MMFI,32,20360,139307,651,81,1,12.19,48,0.6,Master's,Self-employed,Divorced,Yes,Yes,Education,Yes,1
23173,HY8OJVMB3H,34,138327,64824,748,53,4,3.37,24,0.38,Master's,Self-employed,Married,No,No,Auto,No,1
23184,GS45JMUHST,18,148291,177206,824,111,2,5.79,60,0.68,High School,Part-time,Married,Yes,No,Education,No,1
23192,OEEGFDQYET,20,35275,221363,497,55,2,13.98,36,0.28,Master's,Self-employed,Divorced,Yes,Yes,Business,Yes,1
23195,ILVZG2JL0L,44,75499,231286,562,25,1,9.17,48,0.37,Master's,Unemployed,Single,Yes,No,Auto,No,1
23197,U7V7LU0M6F,39,37700,8311,450,102,1,23.43,24,0.16,High School,Part-time,Divorced,No,No,Other,Yes,1
23200,ZRL4JKCOYW,19,79544,226011,382,33,4,19.63,24,0.27,Master's,Self-employed,Married,Yes,Yes,Education,No,1
23203,IWFELSDHMW,62,31105,200255,621,17,3,14.47,48,0.5,Bachelor's,Part-time,Married,No,Yes,Auto,Yes,1
23205,X1IN3O1X7W,25,134819,170675,351,72,1,12.34,24,0.42,Bachelor's,Self-employed,Divorced,Yes,Yes,Business,Yes,1
23235,ZZ8L9BINFD,24,66225,11311,515,13,4,2.94,60,0.7,Master's,Part-time,Single,Yes,No,Other,Yes,1
23237,0R3H4168S5,47,135291,123517,732,12,4,21.57,48,0.85,High School,Part-time,Single,Yes,Yes,Business,No,1
23247,DX4K2QGMC6,18,126124,91813,397,42,3,5.93,60,0.76,High School,Part-time,Single,No,Yes,Auto,No,1
23260,ZX7HCQECBN,65,79152,218621,639,101,3,15.32,48,0.47,Bachelor's,Unemployed,Single,Yes,No,Education,No,1
23282,DVREP0E6N4,36,97614,233721,371,55,2,5.04,12,0.72,PhD,Unemployed,Single,No,No,Auto,No,1
23287,51ASWQ78JT,67,128716,123791,698,96,3,17.76,24,0.63,High School,Unemployed,Divorced,No,No,Business,Yes,1
23289,0M5OLKDGMI,29,47651,236023,698,10,2,15.61,36,0.31,High School,Self-employed,Single,Yes,No,Education,Yes,1
23315,WYFGUKGCI1,28,23169,112222,627,10,3,6.69,24,0.45,Bachelor's,Self-employed,Married,Yes,No,Other,Yes,1
23326,HSXRGFCSKJ,59,91781,231127,585,26,2,16.8,60,0.75,High School,Self-employed,Single,No,Yes,Auto,No,1
23346,GU49QAI9VM,42,109688,64331,451,1,3,19.58,24,0.77,Bachelor's,Unemployed,Single,No,Yes,Auto,Yes,1
23350,SHDQ2KPRC2,41,85757,152646,646,96,3,23.47,36,0.59,High School,Self-employed,Single,Yes,No,Business,No,1
23352,YEILS4F3YT,30,43742,99657,315,72,2,19.3,12,0.81,Master's,Unemployed,Married,No,No,Other,Yes,1
23357,CKCUQUYYLP,29,117784,244104,323,6,3,12.82,48,0.45,Master's,Self-employed,Single,Yes,No,Other,No,1
23359,QHK4PN9MRX,18,100519,117308,484,55,4,22.49,36,0.25,High School,Unemployed,Married,No,Yes,Home,No,1
23362,Q1U3DFY34P,23,77001,95144,636,38,2,24.0,60,0.52,PhD,Unemployed,Single,Yes,No,Other,Yes,1
23377,6JTXUP4YW7,40,88677,237803,388,15,2,23.78,48,0.61,Bachelor's,Full-time,Single,No,No,Auto,No,1
23382,RCCKFBQBZ9,58,18632,32887,838,61,1,8.62,60,0.57,PhD,Part-time,Divorced,Yes,No,Auto,No,1
23384,ETXDJZYW80,43,90015,176063,704,2,2,20.98,24,0.19,Bachelor's,Part-time,Single,No,No,Education,Yes,1
23390,4ZS0A7VUGZ,26,60691,229423,707,88,3,21.59,24,0.29,PhD,Self-employed,Married,Yes,No,Business,No,1
23399,7P6RG0J2G4,40,72392,206416,336,8,4,23.9,24,0.77,PhD,Full-time,Divorced,No,Yes,Education,Yes,1
23414,RYIPDDCYRH,31,98291,176745,347,64,2,21.29,36,0.68,High School,Full-time,Divorced,Yes,No,Business,Yes,1
23415,CRZ8AQ2736,47,36444,147559,505,10,4,9.49,60,0.24,PhD,Part-time,Married,No,No,Business,Yes,1
23421,0OTH07MTH0,48,56161,12283,812,107,2,16.53,48,0.55,Bachelor's,Part-time,Single,No,No,Other,No,1
23433,GD6T1C6GHI,20,88610,42555,778,82,1,13.7,36,0.48,Master's,Unemployed,Single,No,No,Other,No,1
23442,91R9NBLTT3,66,62255,86288,744,39,4,14.55,12,0.28,Master's,Self-employed,Married,Yes,No,Home,No,1
23444,33EPGINRDV,18,42120,164703,491,15,1,18.09,12,0.2,Bachelor's,Full-time,Single,No,No,Business,No,1
23450,OM0X34YR4A,29,38683,112124,463,51,3,24.43,12,0.9,High School,Self-employed,Divorced,Yes,Yes,Education,Yes,1
23454,ZTGAIRFZWD,22,124786,191715,824,42,1,22.74,60,0.62,PhD,Part-time,Divorced,Yes,No,Education,No,1
23455,1EIS2YCFRR,26,73908,22774,519,47,3,14.63,24,0.43,Bachelor's,Self-employed,Single,Yes,Yes,Other,No,1
23460,DKP4J4X2A1,25,15636,167000,698,1,2,8.24,24,0.13,Bachelor's,Unemployed,Single,No,Yes,Other,No,1
23468,JWZLK9CZWP,38,63163,105471,567,91,1,15.65,36,0.3,PhD,Unemployed,Divorced,No,No,Business,No,1
23483,7IU61RED81,62,106642,226384,369,79,3,23.38,48,0.68,PhD,Full-time,Divorced,Yes,No,Business,Yes,1
23485,NU7R63PMQR,19,111798,248969,824,4,2,12.63,36,0.63,Bachelor's,Unemployed,Single,No,No,Home,No,1
23507,MQPDY2P3AT,57,60098,234050,624,75,4,13.28,36,0.28,PhD,Part-time,Single,Yes,Yes,Other,Yes,1
23514,Q6ZCHSWUGG,36,27381,155339,826,65,4,19.86,60,0.36,Master's,Unemployed,Married,Yes,No,Home,No,1
23517,MX022UX636,22,17868,212107,449,99,2,14.09,12,0.77,Master's,Full-time,Divorced,No,No,Other,No,1
23521,MEZZP58HED,36,27388,41935,528,36,2,14.72,48,0.88,Master's,Unemployed,Divorced,No,No,Other,No,1
23563,70I5ZYH7B2,54,38895,12607,788,83,3,20.66,36,0.7,Master's,Unemployed,Divorced,Yes,Yes,Home,No,1
23571,XOXHSWYWIV,30,91388,131981,726,28,3,6.1,36,0.67,High School,Unemployed,Divorced,No,No,Auto,Yes,1
23574,RV04PCPHOT,28,52784,74125,338,17,1,9.7,12,0.67,PhD,Unemployed,Divorced,Yes,No,Business,Yes,1
23578,IPSCLS79V7,24,144535,10972,825,75,4,15.54,60,0.15,High School,Self-employed,Single,No,No,Other,Yes,1
23579,10UCGD4SC8,34,132060,182961,549,32,4,19.71,48,0.58,Master's,Unemployed,Married,Yes,No,Home,No,1
23585,WJ21OEIVF5,18,88213,82221,543,58,4,8.66,60,0.32,High School,Unemployed,Married,No,Yes,Business,No,1
23595,36MMUJFZP3,24,43499,115465,735,69,4,7.1,60,0.6,High School,Part-time,Single,Yes,No,Education,No,1
23614,6HP2P8VSR3,26,112830,243496,308,52,1,24.98,12,0.88,PhD,Self-employed,Married,Yes,Yes,Home,Yes,1
23631,DVD3P1G5XY,51,63924,87379,837,89,1,22.29,24,0.78,Bachelor's,Full-time,Divorced,No,No,Business,Yes,1
23633,5YHCTK30KK,29,82698,218857,379,19,3,24.29,36,0.8,PhD,Full-time,Married,No,Yes,Other,Yes,1
23645,9LBJDFN2TE,46,132521,76119,441,84,1,24.2,36,0.78,Master's,Self-employed,Single,No,No,Other,Yes,1
23650,AN2MQR4IXB,25,22522,39296,316,5,2,22.2,48,0.69,High School,Self-employed,Married,No,Yes,Auto,No,1
23654,5UI9ALRP2F,44,104689,170268,445,35,4,9.66,24,0.72,Bachelor's,Unemployed,Married,Yes,No,Auto,Yes,1
23662,476AAAYXIG,67,124246,217388,326,3,3,13.75,60,0.77,Master's,Full-time,Single,No,No,Home,Yes,1
23668,IXKE7GEHTV,31,82998,237170,638,40,3,14.48,12,0.12,High School,Unemployed,Married,No,Yes,Auto,Yes,1
23670,7Y2NJQ5VFL,46,34512,171808,470,48,2,6.06,12,0.65,High School,Unemployed,Single,No,Yes,Education,No,1
23671,00W5DU2TL3,23,124025,31936,664,44,2,24.61,48,0.52,Master's,Full-time,Divorced,No,No,Education,No,1
23674,CTDHC8Z5PX,28,35383,215920,535,39,1,24.99,36,0.52,Master's,Part-time,Single,Yes,No,Other,Yes,1
23676,FGCRONY79V,57,146582,219394,689,9,3,19.33,12,0.49,High School,Full-time,Single,No,No,Business,Yes,1
23678,24DLINMJX5,45,23827,37060,584,62,2,7.18,48,0.81,PhD,Self-employed,Divorced,Yes,No,Other,No,1
23681,FLU6CBNV40,32,106215,156338,418,53,4,16.04,24,0.61,Bachelor's,Full-time,Single,Yes,Yes,Home,Yes,1
23682,WONR176ZY8,25,119083,83555,714,44,4,18.18,36,0.58,High School,Part-time,Married,No,No,Auto,Yes,1
23698,FVLGAEA60T,48,39888,241238,672,61,4,20.6,24,0.64,Bachelor's,Part-time,Single,No,No,Home,No,1
23702,Z0RYL6W7FG,47,108638,67853,815,12,1,14.65,12,0.86,PhD,Full-time,Single,No,Yes,Business,No,1
23707,PIL6S8NYVK,63,60144,233741,791,81,3,14.02,36,0.3,Master's,Part-time,Married,Yes,No,Home,Yes,1
23710,RU72VF3MG6,29,68898,200222,327,5,1,19.86,36,0.84,High School,Part-time,Married,No,Yes,Education,No,1
23717,BQW46T3P2I,30,56134,166582,722,39,2,17.84,24,0.73,Bachelor's,Self-employed,Single,No,No,Other,No,1
23718,BHTE7V5CQO,25,34167,128722,491,94,3,16.18,24,0.45,PhD,Part-time,Single,Yes,Yes,Auto,Yes,1
23719,PDWKNFNZVZ,33,63266,202664,720,8,4,2.1,36,0.19,PhD,Part-time,Married,No,No,Home,Yes,1
23728,1VEBGH1YI8,50,49463,158327,561,66,3,22.35,36,0.9,PhD,Part-time,Married,Yes,Yes,Education,Yes,1
23750,ABNHU61VE7,31,45979,236129,817,88,3,21.48,48,0.47,High School,Unemployed,Single,No,No,Education,No,1
23757,DTZPQENGYW,27,70614,241155,357,104,2,21.79,36,0.46,High School,Unemployed,Divorced,No,Yes,Business,No,1
23759,FDHJAT71E6,38,22198,86889,841,15,4,17.81,12,0.27,High School,Self-employed,Single,Yes,No,Home,Yes,1
23771,M510KH55TV,26,93754,226970,422,101,4,7.07,24,0.88,PhD,Self-employed,Married,No,Yes,Home,No,1
23778,DK9S16K7MK,33,40318,167978,407,5,4,14.84,36,0.45,Master's,Self-employed,Divorced,No,No,Education,No,1
23783,DKDMIHOR61,61,22467,164125,445,30,3,13.15,36,0.81,Master's,Part-time,Married,Yes,Yes,Education,No,1
23784,0K8HSALS47,43,83135,109757,583,41,1,24.42,24,0.32,Bachelor's,Full-time,Married,Yes,Yes,Other,Yes,1
23787,P1T9N6W7LN,52,121993,137513,500,87,3,22.41,48,0.82,High School,Unemployed,Married,Yes,Yes,Auto,Yes,1
23792,BQLH9R7VWC,59,26864,220641,820,54,1,14.56,60,0.52,Master's,Unemployed,Divorced,No,No,Education,No,1
23799,ZDKQ4877AS,36,16910,168526,597,92,3,7.42,24,0.7,High School,Part-time,Divorced,No,No,Business,No,1
23821,C9J82HD2FX,59,30684,209835,690,17,4,23.51,36,0.28,Master's,Full-time,Divorced,No,Yes,Home,Yes,1
23834,TQXWCWL9TF,19,42896,212637,749,28,1,22.81,60,0.31,High School,Unemployed,Divorced,No,No,Auto,No,1
23852,PBDFSX67XE,25,113950,92410,438,99,2,15.75,12,0.62,PhD,Part-time,Married,Yes,No,Other,Yes,1
23859,Q4R6KTTQJP,22,38303,82090,512,17,1,16.97,36,0.86,Master's,Unemployed,Single,No,No,Auto,No,1
23872,AJRTCFH8IJ,25,97131,114383,370,18,4,8.92,48,0.77,PhD,Unemployed,Divorced,Yes,Yes,Business,Yes,1
23885,2FZJ6CSADQ,46,37185,218381,459,99,2,8.11,36,0.48,Master's,Self-employed,Divorced,Yes,No,Home,Yes,1
23892,VNRG61WXL8,25,30209,125916,450,59,2,20.64,24,0.58,PhD,Self-employed,Married,Yes,No,Education,Yes,1
23893,ORWRWY0OQB,46,24063,241609,714,12,3,23.56,60,0.26,Bachelor's,Part-time,Married,No,No,Home,No,1
23897,BUWJLVOSVH,59,110867,219820,507,92,4,6.92,12,0.73,High School,Full-time,Single,Yes,Yes,Auto,Yes,1
23899,MGF74B4DBZ,51,29529,135613,455,57,4,19.72,48,0.19,High School,Full-time,Divorced,Yes,No,Other,Yes,1
23905,GAULK5H1IO,46,126588,147383,691,1,3,19.61,48,0.78,High School,Full-time,Divorced,No,No,Business,Yes,1
23917,1A5R4CHQ0H,35,104370,140254,714,9,4,18.6,48,0.69,High School,Unemployed,Married,No,No,Other,Yes,1
23934,2U1FHEURP6,26,40885,237618,305,68,4,5.15,24,0.49,Bachelor's,Full-time,Divorced,No,No,Business,No,1
23966,IK0XWQGYVK,31,104136,181314,848,119,4,12.86,48,0.58,PhD,Full-time,Divorced,Yes,No,Auto,Yes,1
23979,FEFOQU2ZLM,30,56925,136615,646,61,3,17.83,48,0.57,Master's,Part-time,Married,No,No,Other,Yes,1
23990,SAEW2DU74C,50,28122,227783,663,75,4,15.2,36,0.52,Bachelor's,Self-employed,Divorced,No,Yes,Education,Yes,1
23997,SZG1QHGBQO,22,22962,227955,756,56,3,6.28,48,0.26,Bachelor's,Unemployed,Single,Yes,Yes,Education,Yes,1
24007,TZWZ5ITSL8,26,135277,196283,518,7,2,22.5,24,0.26,Bachelor's,Part-time,Divorced,No,Yes,Other,No,1
24011,911FGT6H2J,40,56412,197781,751,62,3,14.87,36,0.37,High School,Unemployed,Single,No,Yes,Other,Yes,1
24023,CZCUULVN4K,27,127871,97802,436,10,3,14.72,48,0.42,PhD,Part-time,Married,Yes,Yes,Business,Yes,1
24027,8TNJWOK3BX,62,41361,184037,367,4,2,14.44,48,0.16,Bachelor's,Part-time,Married,Yes,Yes,Home,No,1
24029,JDKDK1G0SV,33,82089,222666,444,66,4,23.05,60,0.31,High School,Self-employed,Divorced,Yes,Yes,Business,Yes,1
24036,VAADPL70I1,51,122939,73257,328,97,3,16.7,36,0.8,Master's,Unemployed,Single,No,Yes,Auto,No,1
24046,2P3DBABUVI,45,21246,209437,548,88,1,16.78,36,0.48,Master's,Unemployed,Divorced,Yes,No,Auto,Yes,1
24063,XRIMWWYTBM,24,87437,29475,839,60,4,17.17,24,0.63,PhD,Unemployed,Single,No,No,Business,No,1
24068,U0YLJ75DR9,47,121522,8625,402,80,2,9.52,12,0.47,Bachelor's,Full-time,Divorced,No,No,Auto,No,1
24079,3ERVLUOS8G,24,23020,225112,400,115,3,15.74,12,0.71,High School,Part-time,Divorced,Yes,Yes,Auto,No,1
24087,PZZ63MVB0Y,20,121131,214360,691,85,1,22.89,60,0.43,Bachelor's,Full-time,Divorced,No,No,Home,No,1
24103,8HVK68IFXV,58,130597,80024,796,90,2,15.32,60,0.55,PhD,Part-time,Single,No,Yes,Other,Yes,1
24121,TZGJDPW0O7,47,106329,248698,477,48,3,12.43,12,0.14,PhD,Unemployed,Single,No,No,Business,Yes,1
24133,407GP0ILZT,46,35715,71219,630,27,3,3.91,24,0.63,High School,Self-employed,Single,No,Yes,Other,No,1
24154,MSLKQ9PHMC,49,139449,242578,569,25,2,24.12,24,0.88,High School,Self-employed,Divorced,No,Yes,Business,No,1
24176,FQ2C8WCCLC,18,109166,227595,478,91,3,8.89,36,0.69,Master's,Unemployed,Single,No,Yes,Education,No,1
24178,8GZVVYKG21,57,43313,232056,571,94,3,11.02,24,0.61,PhD,Part-time,Divorced,Yes,Yes,Education,No,1
24215,P2XQWZFUR6,39,128618,82630,578,32,3,22.34,60,0.35,Bachelor's,Unemployed,Divorced,No,No,Auto,Yes,1
24223,C9HQXIVMN8,31,127649,206786,576,67,2,10.06,48,0.76,PhD,Unemployed,Single,No,Yes,Business,No,1
24225,V4ZGDDQ1JQ,19,94720,167405,672,28,3,8.02,48,0.54,Bachelor's,Self-employed,Divorced,Yes,No,Other,No,1
24235,WTOY0ARI9C,21,107087,85395,754,46,4,2.56,36,0.31,Bachelor's,Unemployed,Married,Yes,No,Home,Yes,1
24242,6BD1Q8TAV0,37,60355,176430,710,46,4,7.05,48,0.52,Master's,Self-employed,Divorced,No,No,Auto,Yes,1
24243,4SEY6SB061,50,31100,217760,650,60,3,24.7,36,0.13,PhD,Full-time,Divorced,No,Yes,Auto,No,1
24248,ZCPSOJ6IL9,30,18229,214574,428,41,2,5.13,60,0.3,Master's,Full-time,Divorced,No,Yes,Education,No,1
24267,MBQMQ74U5A,36,40645,83790,770,92,1,20.41,12,0.62,High School,Full-time,Divorced,No,Yes,Other,Yes,1
24268,XETEGGAVET,45,21877,207193,385,65,2,23.87,48,0.75,High School,Unemployed,Single,Yes,No,Home,Yes,1
24275,H1NF8PR8QN,20,125641,188138,552,99,3,12.91,12,0.53,High School,Part-time,Single,No,No,Education,No,1
24277,EFDNMGFQIZ,50,32543,117158,754,106,3,2.52,24,0.15,PhD,Full-time,Single,Yes,Yes,Education,Yes,1
